Date,Price,Date,Open,High,Low,Close Price,Vol.,Change %,Absolute Value,volatility (in $),Daily volatilit ( in %),,,,Highest Price Ever,Lowest Price Ever,Standard Deviation,Highest Price Movement,Lowest Price Movement,Average daily Volatility ,Highest Price (prevision),Lowest Price (prevision)
05-10-2023,"4,137.64",05-10-2023,"4,143.74","4,154.28","4,098.92","4,137.64",,0.45%,0%,55.36,1.34%,,,,,,,,,,,
05-09-2023,"4,119.17",05-09-2023,"4,124.25","4,130.35","4,116.65","4,119.17",,-0.46%,0%,13.7,0.33%,,,,,,,,,,,
05-08-2023,"4,138.12",05-08-2023,"4,136.98","4,142.30","4,123.81","4,138.12",,0.05%,0%,18.49,0.45%,,,,,,,,,,,
05-05-2023,"4,136.25",05-05-2023,"4,084.73","4,147.02","4,084.73","4,136.25",,1.85%,2%,62.29,1.52%,,,,,,,,,,,
05-04-2023,"4,061.22",05-04-2023,"4,082.55","4,082.61","4,048.28","4,061.22",,-0.72%,1%,34.33,0.84%,,,,,,,,,,,
05-03-2023,"4,090.75",05-03-2023,"4,122.25","4,148.30","4,088.86","4,090.75",,-0.70%,1%,59.44,1.44%,,,,,,,,,,,
05-02-2023,"4,119.58",05-02-2023,"4,164.10","4,164.10","4,089.72","4,119.58",,-1.16%,1%,74.38,1.79%,,,,,,,,,,,
05-01-2023,"4,167.87",05-01-2023,"4,166.79","4,186.92","4,164.12","4,167.87",,-0.04%,0%,22.8,0.55%,,,,,,,,,,,
04/28/2023,"4,169.48",04/28/2023,"4,129.63","4,170.06","4,127.18","4,169.48",,0.83%,1%,42.88,1.04%,,,,,,,,,,,
04/27/2023,"4,135.35",04/27/2023,"4,075.29","4,138.24","4,075.29","4,135.35",,1.96%,2%,62.95,1.54%,,,,,,,,,,,
04/26/2023,"4,055.99",04/26/2023,"4,087.78","4,089.67","4,049.35","4,055.99",,-0.38%,0%,40.32,0.99%,,,,,,,,,,,
04/25/2023,"4,071.63",04/25/2023,"4,126.43","4,126.43","4,071.38","4,071.63",,-1.58%,2%,55.05,1.33%,,,,,,,,,,,
04/24/2023,"4,137.04",04/24/2023,"4,132.07","4,142.41","4,117.77","4,137.04",,0.09%,0%,24.64,0.60%,,,,,,,,,,,
04/21/2023,"4,133.52",04/21/2023,"4,132.14","4,138.02","4,113.86","4,133.52",,0.09%,0%,24.16,0.58%,,,,,,,,,,,
04/20/2023,"4,129.79",04/20/2023,"4,130.48","4,148.57","4,114.57","4,129.79",,-0.60%,1%,34,0.82%,,,,,,,,,,,
04/19/2023,"4,154.52",04/19/2023,"4,139.33","4,162.57","4,134.49","4,154.52",,-0.01%,0%,28.08,0.68%,,,,,,,,,,,
